id,title,release_date,imdb_id,original_language,overview,popularity,genres,keywords,cluster
496243,Parasite,30/5/2019,tt6751668,ko,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",64.627,"['comedy', 'thriller', 'drama']","dark comedy, private lessons, birthday party, con artist, working class, psychological thriller, class differences, housekeeper, tutor, family, crime family, unemployed, satirical, desperate, wealthy family, complex, south korea, seoul, south korea, critical, egotistical, hilarious, intense, baffled, callous, dubious, farcical, mean spirited, straightforward, urgent",9
110415,Snowpiercer,1/8/2013,tt1706620,ko,"In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer, a train that travels around the globe via a perpetual-motion engine.",34.597,"['action', 'science fiction', 'drama']","parent child relationship, winter, brothel, child labour, pregnancy, dystopia, allegory, post-apocalyptic future, bridge, hijacking of train, rifle, based on comic, dam, train, based on graphic novel, guilt, revolt, duplicity, tunnel, social class, population control, perpetual winter, city ruin, 2030s",8
670,Oldboy,21/11/2003,tt0364569,ko,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",53.128,"['drama', 'thriller', 'mystery', 'action']","daughter, rage and hate, hostility, transformation, imprisonment, dark comedy, hypnosis, sushi restaurant, notebook, time, sin, alcoholism, flashback, revenge, loneliness, torture, based on manga, urination, rage, anger, catholic, incest, hopeless, captivity, neo-noir, father daughter relationship, asian origins, remade, south korea, hammer, driven to suicide, audacious, pessimistic",9
396535,Train to Busan,20/7/2016,tt5700672,ko,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",49.553,"['horror', 'thriller', 'action', 'adventure']","zombie, train, survival horror, busan, south korea, south korea",8
11423,Memories of Murder,2/5/2003,tt0353969,ko,"During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.",29.117,"['crime', 'drama', 'thriller']","assassin, rape, corruption, police, detective, investigation, victim, based on true story, based on play or musical, murder, serial killer, torture, brutality, killer, neo-noir, south korea",9
290098,The Handmaiden,1/6/2016,tt4016934,ko,"In 1930s Korea, a swindler and a young woman pose as a Japanese count and a handmaiden to seduce a Japanese heiress and steal her fortune.",55.173,"['thriller', 'drama', 'romance']","jealousy, based on novel or book, library, pickpocket, con man, swindler, lesbian relationship, mansion, lust, lgbt, noblewoman, con woman, 1930s, lady's maid, handmade, seducer, japanese occupation of korea, lesbian, girls love",9
1255,The Host,27/7/2006,tt0468492,ko,"A teenage girl is captured by a giant mutated squid-like creature that appears from Seoul's Han River after toxic waste was dumped in it, prompting her family into a frantic search for her.",23.431,"['horror', 'drama', 'science fiction']","daughter, pollution, monster, river, bravery, sewerage, formaldehyde, snack bar, archer, family, asian origins, seoul, south korea, han river",0
49797,I Saw the Devil,12/8/2010,tt1588170,ko,"Kyung-Chul is a dangerous psychopath who kills for pleasure. Soo-Hyun, a top-secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take vengeance against the killer, even if it means that he must become a monster himself.",24.682,"['thriller', 'horror']","psychopath, cemetery, police chief, secret agent, revenge, murder, serial killer, mercilessness, severed head, brutality, cannibal, tracking device, south korea, sadistic killer",5
581392,Peninsula,15/7/2020,tt8850222,ko,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,30.117,"['horror', 'adventure', 'action', 'thriller']","dystopia, sequel, zombie, busan, south korea, south korea",8
614696,#Alive,24/6/2020,tt10620868,ko,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",24.119,"['horror', 'action', 'adventure', 'thriller']","escape, alone, survival, drone, zombie, apartment building, zombie apocalypse, virus, live stream, south korea, apartment",8
