id,title,release_date,imdb_id,original_language,overview,popularity,genres,keywords,cluster
461438,Can We Still Be Friends?,14/6/2017,tt6731862,tl,"Digs a no fuss, no frills kind of guy and idealistic achiever Sam who are friends turned lovers turned exes. Their relationship as a couple lasted for almost eight years until they both decided on an amicable breakup.",5.169,"['comedy', 'romance']",philippines,8
158091,Metro Manila,17/7/2013,tt1845838,tl,"Looking for a brighter future in metropolitan Manila, Oscar Ramirez and his family leave their miserable life in the rice terraces of Banaue, in the northern Philippines. In the sweltering capital, where all kind of perils lurk in every corner, Oscar catches a lucky break when he is offered a steady work for an armored truck company and the senior officer Ong takes him under his wing.",5.961,"['crime', 'thriller', 'drama', 'action']","husband wife relationship, co-workers relationship, security guard, farmer, armored truck, manila philippines, life in the slums",9
591121,Maria,7/3/2019,tt7594584,tl,"When a former BlackRose cartel assassin deliberately betrays them by refusing to complete her mission, the cartel orders her execution. Unbeknownst to them, she fakes her own death and is able to create a new life of her own. When the cartel discovers she is alive, the hunter becomes the hunted as she fights to get revenge on those who took her new life away from her.",10.373,"['action', 'crime']","assassin, revenge, drug cartel, professional hit, hit lady",2
593961,"Hello, Love, Goodbye",31/7/2019,tt10156112,tl,"A bartender and a domestic helper of Filipino origin living in Hong Kong find themselves falling in love, but they each have different plans for their future.",8.985,"['romance', 'drama']","bartender, love",3
468033,Finally Found Someone,26/7/2017,tt7151438,tl,"Aprilyn who is left by his groom on the day of their wedding becomes viral online. Devastated, she meets Raffy who works at a PR agency hired by the father of the groom who will help her move on.",3.731,"['comedy', 'romance']",philippines,8
522246,Eerie,27/3/2019,tt8723216,tl,"The unexpected and gruesome death of a student threatens the existence of an old Catholic school for girls. Pat Consolacion, the school guidance counselor, involves herself with the students in the hopes of helping them cope, and at the same time uncover the mysteries of the student’s death. Most students suspect of the strict and borderline abusive Mother Alice, who also threatened Pat’s tenure in the school because of her continuous meddling with the case. But Pat’s unusual talents lead her to knowing Eri, a former student who's been watching the whole school for years. Piece by piece, Pat uncovers the secret of the school and the monster that it nurtured for the past century.",8.281,"['horror', 'crime', 'thriller']","nun, teacher, catholic school, evil nun",5
190754,On the Job,28/8/2013,tt2717558,tl,"On The Job is about the ambitions and passions of four men trying to make a living, for themselves and their families. It shows the parallels between two prison inmates who are contract killers, and the two agents of the law investigating the murders. As they get caught in a web of machination of corrupt government officials, their jobs lead them on a head-on collision against each other with their loved ones as collateral damage.",6.659,"['action', 'crime', 'thriller']","police brutality, corruption, politics, philippines, philippine army, manila philippines",2
70580,Manila in the Claws of Light,16/7/1975,tt0073363,tl,"Julio, a young fisherman from a provincial village, descends into social alienation as he arrives in Manila to search for his loved one.",7.624,"['drama', 'mystery']","worker, slum, loss of loved one, brothel, male prostitution, poverty, construction site, lgbt, manila philippines, rent boy, gay theme",0
108949,Insiang,25/12/1976,tt0077740,tl,"A story about the life of a young girl living with her mother in the slums of Manila, which becomes unbearable when her mother's young boyfriend moves in with them.",4.418,['drama'],"prison, adultery, rape, slum, love triangle, philippines, revenge, older woman younger man relationship, manila philippines, shantytown",0
269660,Diary ng Panget,2/4/2014,tt3640822,tl,"A young woman takes a job as a personal maid for a rich young man. The pair do not get along, but soon due to their classmates' games of love, their relationship grows more complicated than before.",3.224,"['comedy', 'drama', 'romance']",philippines,3
496283,BuyBust,1/8/2018,tt5938084,tl,"A special forces team is sent to snuff out a drug den, but find themselves trapped inside it after being set-up and betrayed.",4.131,"['action', 'drama', 'thriller', 'crime']","drug dealing, special forces, drug den",9
186975,"Norte, The End of History",29/9/2013,tt2852432,tl,"A man is wrongly jailed for murder while the real killer roams free. The murderer is an intellectual frustrated with his country’s never-ending cycle of betrayal and apathy. The convict is a simple man who finds life in prison more tolerable, when something mysterious and strange starts happening to him.",4.614,"['crime', 'drama']","double murder, punishment, revenge, wrongful conviction, crime spree, government corruption",0
408542,The Woman Who Left,28/9/2016,tt5843990,tl,"For Horacia Somorostro, living has become a veritable reclusion perpetua, an imprisonment. Life’s spins and randomness has been very difficult, vicious and inexplicable for her. The year is 1997. Princess Diana dies in a violent car crash. The world is saddened by the death of Mother Theresa. And the Philippines is gripped with fear. It has become the kidnap capital of Asia.",2.695,['drama'],philippines,0
64450,Kinatay,23/9/2009,tt1423592,tl,"A young man tries to make some money so he can marry his girlfriend. He takes a job for $2,000 and then soon realizes that this job involves killing a woman.",2.181,"['crime', 'drama', 'horror', 'thriller']","prostitute, rape, witness, philippines, torture, urban setting, news reporter, neorealism, corrupt cop",5
359105,Heneral Luna,9/9/2015,tt4944352,tl,A Filipino general who believes he can turn the tide of battle in the Philippine-American war. But little does he know that he faces a greatest threat to the country's revolution against the invading Americans.,5.35,"['comedy', 'action', 'drama', 'history', 'war']","philippines, period drama, philippine history",9
97794,The Road,30/11/2011,tt2063008,tl,A 12 year old cold case is reopened when three teens are missing in an old abandoned road where a gruesome murder is left undiscovered for three decades.,2.573,"['crime', 'horror', 'thriller']","villain, driving lesson, road movie",5
209964,Porno,27/7/2013,tt3031030,tl,"An assassin, a porn dubber and a transgender. Three souls. One explicit illusion. To ﬁnd the ultimate joy in their empty lives.  A safe haven, where passion and love mean humanity, ecstasy means enlightenment; and the soul is the ultimate arbiter of the truth.",9.845,['drama'],porno,0
499772,Meet Me in St. Gallen,7/2/2018,tt7967834,tl,"The story of Jesse and Celeste who meets at an unexpected time in their lives. They then realize their names are the same as the characters in the popular break-up romantic comedy, Celeste and Jesse Forever.",1.37,"['drama', 'romance']",,3
46773,The Blossoming of Maximo Oliveros,13/7/2005,tt0479506,tl,"Maxi, a boy on the cusp of his teens, is already comfortable with his homosexual feelings, with acceptance from his family. When Maxi is assaulted one evening, Victor, a police officer, comes to his aid. Maxi soon develops a crush on Victor, who shows a platonic affection for the young lad.",3.407,"['comedy', 'drama']","lgbt, older man younger man relationship, manila philippines, slum dweller, gay youth, boys' love (bl)",0
282761,She's Dating the Gangster,16/7/2014,tt3772640,tl,"Seventeen-year-old Athena Dizon unwittingly plays a trick on resident heartthrob and bad boy Kenji de los Reyes. All of a sudden, she finds herself pretending to be his girlfriend to make an ex jealous; however, she falls in love with him.",6.866,"['drama', 'romance', 'comedy']",woman director,3
434376,Birdshot,16/8/2017,tt6135042,tl,"A farm girl mistakenly shoots and kills an endangered Philippine Eagle. When authorities begin a manhunt to track down the eagle’s killer, they stumble upon an even more horrific discovery.",2.327,"['thriller', 'drama', 'mystery']","eagle, philippines, endangered species, farm girl, manhunt",5
127495,Graceland,20/4/2012,tt2131523,tl,"When a kidnapping goes wrong, a desperate father risks everything to save his daughter from the men who hold her captive.",1.958,['drama'],philippines,0
40471,For Y'ur Height Only,1/7/1981,tt0200642,tl,"Mr. Giant has kidnapped the brilliant Dr. Van Kohler and is planning to use the Doctor's invention, the N-bomb, to hold the world hostage. The only one who can foil Mr. Giant's evil scheme is Agent 00, a 3-foot-tall filipino martial arts master, expert marksman, top-class romancer and all-around superspy. Can Agent 00 rescue Dr. Kohler before it's too late?",2.799,"['comedy', 'action']","spy, james bond spoof",6
533534,Aurora,25/12/2018,tt8821182,tl,The passenger ship Aurora mysteriously collides into the rocky sea threatening an entire island. A young woman and her sister must both survive by finding the missing dead for a bounty.,2.129,"['horror', 'thriller']",,5
931599,Silip Sa Apoy,28/1/2022,tt18264266,tl,Take a peek at the life of an unhappy housewife who finds passionate love from her neighbor and how their affair brings them closer to fire.,26.182,"['drama', 'thriller']",,5
280492,From What Is Before,3/7/2014,tt3303310,tl,"The Philippines, 1972. Mysterious things are happening in a remote barrio. Wails are heard from the forest, cows are hacked to death, a man is found bleeding to death at the crossroad and houses are burned. Ferdinand E. Marcos announces Proclamation No. 1081 putting the entire country under Martial Law.",2.559,['drama'],"martial law, philippines",0
452196,Can't Help Falling in Love,15/4/2017,tt6725484,tl,Gab de la Cuesta is a high-strung career woman who got recently engaged to her longtime boyfriend. Her well-planned life suddenly becomes complicated when she discovers that she is actually married to a total stranger.,3.748,"['comedy', 'romance']",philippines,8
1029446,Selina's Gold,28/10/2022,tt23118976,tl,"Selina's father sells her to Tiago who makes her a sex slave. With the help of Domeng, Tiago's blind slave, she plans their way out of this living hell.",15.716,['drama'],,0
541458,The Girl Allergic to Wi-Fi,15/8/2018,tt7619554,tl,"Norma, a typical teenager who is always online, created a joint social media account for her and her boyfriend to mark their third monthsary. She gets a rare illness called electromagnetic hypersensitivity, which means she can't be around cellphones, tablets, laptops, and Wi-Fi. To help her cope with her syndrome, Norma relocates to a remote province with no signal, forcing her to have a long-distance relationship with Leo.",3.071,"['romance', 'comedy']",,8
614375,Fuccbois,2/8/2019,tt11965688,tl,"Ace, 23, and Miko, 17, desperately want to become famous actors but it seems the Universe has a different plan for their lives.",2.138,"['drama', 'thriller']",gay theme,5
522449,Goyo: The Boy General,5/9/2018,tt5094192,tl,"With this film (the second war trilogy set during the Filipino-American war in the early 1900s), the revolution marches on against the Americans after the bloody death of General Antonio Luna. The conflicted philosophies behind the heroic struggle continue and become personified in the colorful character of General Gregorio ""Goyo"" del Pilar.",2.868,['history'],"general, war hero",7
84765,Perfumed Nightmare,8/1/1979,tt0076341,tl,"Kidlat, a Filipino jeepney driver, is fascinated by the idea of the American space programme and by Western society as a whole. When he moves to Paris, disillusionment sets in as his dreams are gradually shattered.",1.947,"['comedy', 'drama']",jeepney,0
163957,Evolution of a Filipino Family,17/9/2004,tt0424062,tl,An intimate epic made with uncompromising and austere seriousness that patiently and methodically observes the collapse and hopeful revival of a poor farming clan.,2.189,['drama'],"family, evolution",0
638240,Miracle in Cell No. 7,25/12/2019,tt10845262,tl,"Joselito is a mentally-challenged man who is wrongfully charged with sexually assaulting and murdering a little girl. In prison, he becomes friends with his fellow inmates and together they form a plan to smuggle his young daughter inside the cell! Years after, his daughter becomes a lawyer and is determined to prove her father's innocence.",6.075,"['drama', 'comedy']","prison, remake",0
625248,Dead Kids,17/11/2019,tt11156614,tl,A socially awkward teen bonds with a group of misfits who plot to abduct the school's arrogant rich kid -- until their kidnapping scheme turns deadly.,3.509,"['thriller', 'crime', 'drama']",,5
302252,Red,9/11/2014,tt4170206,tl,"Red, a shy orphan who spent most of his childhood in a girly bar, grew up to be the town's best fixer. When a rich kid was gunned down in a drug bust that went wrong, Red was hired by Art, a spoiled socialite, to fix the mess.",2.266,"['drama', 'action']",philippines,9
485835,12,8/11/2017,tt7608274,tl,Anton and Erika started out as friends for five years and got into a romantic relationship for seven years. Anton is a commercial director while Erika is a former band member and becomes his stay-at-home partner. The day finally comes when he asks her to marry him.,2.931,"['romance', 'drama']",,3
8904,Service,24/6/2008,tt1225296,tl,A struggling family owns a Filipino porn theater where prostitutes conduct their business.,9.218,['drama'],gay theme,0
849177,Seasons,7/7/2023,tt28022861,tl,"After a string of failed relationships, two best friends make a deal to take risks and look for love again — but they might just find it in each other.",9.201,"['drama', 'romance']",friends to lovers,3
467113,Kita Kita,19/7/2017,tt6608138,tl,Lea is a tour guide in Japan who suffered from temporary blindness and if not cured in a few weeks could be permanent. Tonyo who lives right across from Lea is persistent and determined to be her friend. They then become closer and Lea has seen the true character of Tonyo.,1.555,"['comedy', 'romance']",philippines,8
217434,Kisapmata,25/12/1981,tt0221322,tl,"A retired police sergeant has an unnatural stranglehold over his wife and daughter. His claustrophobically enclosed world is threatened when his daughter Mila finds herself pregnant and was forced to marry Noel. He attempts to extend his influence over his son-in-law, who resists; there is a confrontation.",2.267,"['crime', 'drama', 'thriller']","based on true story, philippines, true crime, incest",5
